open,close,high,low,value,volume,begin,end
255.99,255.0,258.19,253.7,9165474633.3,35851840.0,2020-01-03,2020-01-03 23:59:59
254.75,253.9,254.84,251.4,5646009935.8,22348300.0,2020-01-06,2020-01-06 23:59:59
253.57,259.15,259.15,253.03,10485882097.9,40817240.0,2020-01-08,2020-01-08 23:59:59
259.4,257.99,261.76,257.01,9936032087.9,38329020.0,2020-01-09,2020-01-09 23:59:59
257.86,258.19,259.25,256.88,4864405366.3,18851390.0,2020-01-10,2020-01-10 23:59:59
258.3,262.4,262.4,257.15,6719255698.1,25855010.0,2020-01-13,2020-01-13 23:59:59
262.5,259.05,263.22,258.62,8103825686.4,31125740.0,2020-01-14,2020-01-14 23:59:59
258.49,256.31,258.91,254.21,12661740755.8,49361790.0,2020-01-15,2020-01-15 23:59:59
257.11,257.51,259.51,256.1,10367670370.1,40246770.0,2020-01-16,2020-01-16 23:59:59
258.2,262.5,262.82,257.75,11730973230.7,44914290.0,2020-01-17,2020-01-17 23:59:59
263.2,266.28,266.97,261.8,7891039716.6,29797710.0,2020-01-20,2020-01-20 23:59:59
265.5,268.06,268.9,263.02,10116243295.7,38082090.0,2020-01-21,2020-01-21 23:59:59
268.72,266.54,270.8,265.5,11869000221.9,44282490.0,2020-01-22,2020-01-22 23:59:59
264.64,263.73,266.89,262.24,10758037619.6,40604170.0,2020-01-23,2020-01-23 23:59:59
264.5,265.49,267.5,264.21,7262832432.3,27340100.0,2020-01-24,2020-01-24 23:59:59
261.0,255.32,262.1,255.32,14573355407.9,56453370.0,2020-01-27,2020-01-27 23:59:59
257.0,257.7,258.84,254.1,12365444789.1,48137360.0,2020-01-28,2020-01-28 23:59:59
258.4,259.94,261.57,257.61,9098209650.8,35047940.0,2020-01-29,2020-01-29 23:59:59
258.0,257.31,258.69,255.27,8167114682.7,31769340.0,2020-01-30,2020-01-30 23:59:59
258.5,252.2,259.2,252.17,12249844290.7,47921560.0,2020-01-31,2020-01-31 23:59:59
251.8,253.99,254.96,251.1,13363918755.6,52728460.0,2020-02-03,2020-02-03 23:59:59
255.3,255.4,257.38,252.9,12692962569.8,49786360.0,2020-02-04,2020-02-04 23:59:59
255.89,255.2,257.66,253.14,12992374109.8,50756570.0,2020-02-05,2020-02-05 23:59:59
256.5,252.11,258.0,251.86,11098851157.0,43615980.0,2020-02-06,2020-02-06 23:59:59
253.1,254.3,254.3,248.73,12648688569.6,50226630.0,2020-02-07,2020-02-07 23:59:59
254.55,252.26,255.73,252.07,8929308973.1,35220690.0,2020-02-10,2020-02-10 23:59:59
253.75,254.5,259.77,253.0,20381955261.5,79454730.0,2020-02-11,2020-02-11 23:59:59
255.4,254.5,255.49,252.31,13351886412.8,52523300.0,2020-02-12,2020-02-12 23:59:59
253.62,253.89,255.18,252.5,9314224120.0,36730840.0,2020-02-13,2020-02-13 23:59:59
254.4,251.75,254.4,251.4,7579007855.0,30017380.0,2020-02-14,2020-02-14 23:59:59
252.5,251.36,253.1,250.13,6637504387.0,26429380.0,2020-02-17,2020-02-17 23:59:59
250.07,249.2,250.44,247.57,9054245995.6,36365950.0,2020-02-18,2020-02-18 23:59:59
250.37,249.7,250.68,247.95,6437007441.5,25798890.0,2020-02-19,2020-02-19 23:59:59
250.03,250.15,252.17,249.13,7704063757.8,30717360.0,2020-02-20,2020-02-20 23:59:59
248.35,250.8,251.49,247.24,6926329901.6,27762930.0,2020-02-21,2020-02-21 23:59:59
247.98,245.19,249.0,245.17,10141332087.8,41055780.0,2020-02-25,2020-02-25 23:59:59
244.75,250.8,251.21,243.22,16724373957.7,67757850.0,2020-02-26,2020-02-26 23:59:59
247.5,242.88,248.98,242.0,14287528242.1,58240400.0,2020-02-27,2020-02-27 23:59:59
235.0,233.36,239.0,231.0,29250123419.3,124633310.0,2020-02-28,2020-02-28 23:59:59
238.93,228.17,241.0,218.86,23615359168.5,101986040.0,2020-03-02,2020-03-02 23:59:59
233.0,236.63,239.0,232.28,19695761022.1,83653950.0,2020-03-03,2020-03-03 23:59:59
234.13,235.27,236.7,232.62,12738292785.5,54274670.0,2020-03-04,2020-03-04 23:59:59
237.0,232.33,238.72,230.64,13359836777.1,57083760.0,2020-03-05,2020-03-05 23:59:59
228.0,219.99,229.2,216.67,23122055667.7,104446900.0,2020-03-06,2020-03-06 23:59:59
197.99,201.2,212.74,184.86,49385427971.3,244541800.0,2020-03-10,2020-03-10 23:59:59
202.0,194.53,204.33,192.05,27368963511.9,138304030.0,2020-03-11,2020-03-11 23:59:59
185.15,175.91,187.87,173.14,35646674940.5,197972880.0,2020-03-12,2020-03-12 23:59:59
175.0,198.6,199.52,174.3,50434232135.0,263038280.0,2020-03-13,2020-03-13 23:59:59
194.0,195.85,196.7,186.0,33462089397.7,174273600.0,2020-03-16,2020-03-16 23:59:59
195.0,184.01,204.78,183.8,35134438033.5,184148390.0,2020-03-17,2020-03-17 23:59:59
179.0,174.27,182.2,172.15,27438382586.0,155008180.0,2020-03-18,2020-03-18 23:59:59
178.5,189.51,190.15,173.06,34507099921.0,187427700.0,2020-03-19,2020-03-19 23:59:59
198.62,195.69,201.86,192.05,33640155970.2,170582970.0,2020-03-20,2020-03-20 23:59:59
188.0,183.37,190.99,182.1,29394019795.5,157891450.0,2020-03-23,2020-03-23 23:59:59
193.3,192.64,195.0,189.1,20144255967.3,104881990.0,2020-03-24,2020-03-24 23:59:59
196.38,188.08,201.0,182.32,36047953308.7,187978350.0,2020-03-25,2020-03-25 23:59:59
187.69,188.07,191.2,182.8,20794391118.5,111602370.0,2020-03-26,2020-03-26 23:59:59
188.05,180.38,188.97,180.17,20992083168.9,114277750.0,2020-03-27,2020-03-27 23:59:59
177.0,183.0,183.2,174.9,16984102870.2,94334680.0,2020-03-30,2020-03-30 23:59:59
186.0,187.21,188.77,184.25,21273110563.50001,114026920.0,2020-03-31,2020-03-31 20:30:07
183.2,184.78,185.47,182.0,14152323782.7,76826820.0,2020-04-01,2020-04-01 23:59:59
188.3,186.95,189.9,182.0,23370357267.7,125636360.0,2020-04-02,2020-04-02 23:59:59
186.6,185.64,187.49,184.28,17235065518.9,92860290.0,2020-04-03,2020-04-03 23:59:59
187.52,190.7,192.02,186.42,14703005110.4,77864920.0,2020-04-06,2020-04-06 23:59:59
193.02,197.63,200.54,193.02,26938901533.1,136421670.0,2020-04-07,2020-04-07 23:59:59
196.02,200.29,200.29,195.12,17786713217.2,89980980.0,2020-04-08,2020-04-08 23:59:59
202.4,203.61,205.44,199.3,22320788796.1,109981630.0,2020-04-09,2020-04-09 23:59:59
201.85,201.99,202.75,200.7,5800209935.8,28758250.0,2020-04-10,2020-04-10 23:59:59
202.0,198.26,202.16,197.32,8212681043.4,41284390.0,2020-04-13,2020-04-13 23:59:59
199.99,197.37,202.85,196.1,16029896035.5,80220070.0,2020-04-14,2020-04-14 23:59:59
196.0,186.07,196.25,186.06,18670648932.7,98164460.0,2020-04-15,2020-04-15 23:59:59
187.22,188.5,191.67,183.53,20595306653.4,109174870.0,2020-04-16,2020-04-16 23:59:59
192.5,191.8,192.7,188.28,13685370762.7,71727940.0,2020-04-17,2020-04-17 23:59:59
190.6,189.32,192.23,187.31,11794682206.4,62240080.0,2020-04-20,2020-04-20 23:59:59
185.54,186.05,187.5,183.65,17514787767.5,94307290.0,2020-04-21,2020-04-21 23:59:59
185.01,190.2,191.94,184.5,14242707865.6,75361890.0,2020-04-22,2020-04-22 23:59:59
191.99,190.94,192.5,188.68,11973068616.3,62759650.0,2020-04-23,2020-04-23 23:59:59
189.73,188.91,191.65,187.7,10472460449.3,55313850.0,2020-04-24,2020-04-24 23:59:59
189.98,188.9,190.5,188.43,8280718574.0,43711720.0,2020-04-27,2020-04-27 23:59:59
188.5,192.8,194.22,188.17,15058997718.5,78584780.0,2020-04-28,2020-04-28 23:59:59
194.46,195.8,195.8,192.86,13579539158.7,69842140.0,2020-04-29,2020-04-29 23:59:59
196.51,197.25,199.7,195.46,17208241261.6,87198650.0,2020-04-30,2020-04-30 23:59:59
195.68,193.69,195.68,193.26,10956456919.7,56398200.0,2020-05-04,2020-05-04 23:59:59
195.51,194.75,196.46,194.0,6913652876.1,35439260.0,2020-05-05,2020-05-05 23:59:59
195.0,195.7,197.23,194.3,9707394359.8,49561410.0,2020-05-06,2020-05-06 23:59:59
196.0,195.51,198.15,195.06,11343545876.3,57728990.0,2020-05-07,2020-05-07 23:59:59
196.0,196.02,196.25,194.6,6617841364.8,33836340.0,2020-05-08,2020-05-08 23:59:59
193.3,191.4,198.0,191.2,13070048549.5,67656880.0,2020-05-12,2020-05-12 23:59:59
190.05,187.31,190.6,186.66,11961690830.5,63466110.0,2020-05-13,2020-05-13 23:59:59
186.5,183.81,188.2,183.5,14231605183.4,76682120.0,2020-05-14,2020-05-14 23:59:59
