open,close,high,low,value,volume,begin,end
255.99,255.99,255.99,255.99,7085803.199999999,27680.0,2020-01-03 09:00:00,2020-01-03 09:59:59
255.97,255.77,256.97,255.52,1192099448.5,4651320.0,2020-01-03 10:00:00,2020-01-03 10:59:59
255.78,257.01,257.05,255.52,963094211.8999999,3754140.0,2020-01-03 11:00:00,2020-01-03 11:59:59
257.0,257.2,258.19,256.77,1045291119.0999999,4061070.0,2020-01-03 12:00:00,2020-01-03 12:59:59
257.2,256.45,257.6,256.06,783316344.4,3052930.0,2020-01-03 13:00:00,2020-01-03 13:59:59
256.45,254.65,256.75,254.56,1314075600.1000001,5143900.0,2020-01-03 14:00:00,2020-01-03 14:59:59
254.64,254.97,255.0,253.7,1158714403.2999995,4554160.0,2020-01-03 15:00:00,2020-01-03 15:59:59
254.95,254.5,255.1,254.3,648773768.1,2546990.0,2020-01-03 16:00:00,2020-01-03 16:59:59
254.51,254.35,254.96,254.3,778721097.3000002,3059620.0,2020-01-03 17:00:00,2020-01-03 17:59:59
254.38,255.0,255.16,254.1,1274302837.4,5000030.0,2020-01-03 18:00:00,2020-01-03 18:59:59
254.75,254.75,254.75,254.75,5186710.0,20360.0,2020-01-06 09:00:00,2020-01-06 09:59:59
254.75,252.1,254.84,252.03,1157549160.6,4578260.0,2020-01-06 10:00:00,2020-01-06 10:59:59
252.1,252.05,253.92,251.76,1011630122.3000002,3997770.0,2020-01-06 11:00:00,2020-01-06 11:59:59
252.05,251.71,252.45,251.4,625866233.8000001,2485200.0,2020-01-06 12:00:00,2020-01-06 12:59:59
251.72,251.84,252.14,251.5,313908734.3999999,1246790.0,2020-01-06 13:00:00,2020-01-06 13:59:59
251.8,252.01,252.14,251.4,192377740.70000005,764010.0,2020-01-06 14:00:00,2020-01-06 14:59:59
252.01,252.17,252.5,251.72,349483691.09999996,1386000.0,2020-01-06 15:00:00,2020-01-06 15:59:59
252.11,252.46,252.65,251.7,436219196.4000001,1730040.0,2020-01-06 16:00:00,2020-01-06 16:59:59
252.4,252.49,252.74,252.1,487942806.2,1933000.0,2020-01-06 17:00:00,2020-01-06 17:59:59
252.47,253.9,253.9,252.47,1065845540.3000002,4206870.0,2020-01-06 18:00:00,2020-01-06 18:59:59
253.57,253.57,253.57,253.57,20592419.699999977,81210.0,2020-01-08 09:00:00,2020-01-08 09:59:59
253.62,255.06,255.7,253.03,1831360747.9999993,7194480.0,2020-01-08 10:00:00,2020-01-08 10:59:59
255.07,256.28,258.0,255.02,2156782817.1,8401760.0,2020-01-08 11:00:00,2020-01-08 11:59:59
256.31,256.78,257.43,256.26,812020754.7,3161750.0,2020-01-08 12:00:00,2020-01-08 12:59:59
256.86,256.91,256.98,255.81,657735985.0000001,2566260.0,2020-01-08 13:00:00,2020-01-08 13:59:59
256.91,256.87,257.25,256.65,964492967.9000003,3753530.0,2020-01-08 14:00:00,2020-01-08 14:59:59
256.88,257.84,257.99,256.75,848577646.1000001,3298670.0,2020-01-08 15:00:00,2020-01-08 15:59:59
257.87,258.14,258.69,257.02,1188708374.0999994,4609590.0,2020-01-08 16:00:00,2020-01-08 16:59:59
258.21,258.72,258.86,257.95,602312983.7,2330570.0,2020-01-08 17:00:00,2020-01-08 17:59:59
258.71,259.15,259.15,258.32,1403297401.6,5419420.0,2020-01-08 18:00:00,2020-01-08 18:59:59
259.4,259.4,259.4,259.4,34427568.0,132720.0,2020-01-09 09:00:00,2020-01-09 09:59:59
259.41,261.1,261.76,259.36,2220898102.2,8518180.0,2020-01-09 10:00:00,2020-01-09 10:59:59
261.09,258.97,261.09,258.68,1665317853.1999998,6415810.0,2020-01-09 11:00:00,2020-01-09 11:59:59
259.0,259.75,259.87,258.28,588969736.7999998,2273080.0,2020-01-09 12:00:00,2020-01-09 12:59:59
259.73,258.95,260.94,258.89,847862991.9,3262650.0,2020-01-09 13:00:00,2020-01-09 13:59:59
258.97,259.48,259.54,258.74,764956883.4000002,2952080.0,2020-01-09 14:00:00,2020-01-09 14:59:59
259.48,258.38,259.86,257.55,1041354924.9000002,4025130.0,2020-01-09 15:00:00,2020-01-09 15:59:59
258.38,257.98,258.8,257.8,427962498.2,1656800.0,2020-01-09 16:00:00,2020-01-09 16:59:59
257.92,257.78,258.68,257.58,912325558.8000002,3533850.0,2020-01-09 17:00:00,2020-01-09 17:59:59
257.79,257.99,258.03,257.01,1431955970.5,5558720.0,2020-01-09 18:00:00,2020-01-09 18:59:59
257.86,257.86,257.86,257.86,2511556.4000000013,9740.0,2020-01-10 09:00:00,2020-01-10 09:59:59
257.91,257.45,258.21,256.88,809438247.5999999,3143850.0,2020-01-10 10:00:00,2020-01-10 10:59:59
257.42,258.87,259.25,257.13,1118037703.6000001,4329890.0,2020-01-10 11:00:00,2020-01-10 11:59:59
258.88,258.7,259.1,258.43,526045940.3000001,2032870.0,2020-01-10 12:00:00,2020-01-10 12:59:59
258.7,258.05,258.79,258.0,263094948.39999998,1018400.0,2020-01-10 13:00:00,2020-01-10 13:59:59
258.05,258.14,258.47,257.7,331128940.6,1283390.0,2020-01-10 14:00:00,2020-01-10 14:59:59
258.13,258.07,258.57,257.9,299302339.00000006,1159530.0,2020-01-10 15:00:00,2020-01-10 15:59:59
258.04,257.76,258.13,257.43,439772568.9000001,1706020.0,2020-01-10 16:00:00,2020-01-10 16:59:59
257.73,257.93,258.3,257.47,321562133.4000001,1247170.0,2020-01-10 17:00:00,2020-01-10 17:59:59
257.85,258.19,258.26,257.62,753510988.1000001,2920530.0,2020-01-10 18:00:00,2020-01-10 18:59:59
258.3,258.3,258.3,258.3,1319913.0,5110.0,2020-01-13 09:00:00,2020-01-13 09:59:59
258.21,258.87,258.93,257.15,861258979.3999999,3336840.0,2020-01-13 10:00:00,2020-01-13 10:59:59
